"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","iteration","runId"
0,"inst-23-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 23 1 1681160445 tuning -nnodes_middle 16 -nnodes_delta 23 -nrings_middle 11 -nrings_delta 19 -capacity_middle 12 -capacity_delta 0 -demand_cardMiddle 43 -demand_cardDelta 2 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 34 -demand_inner_inner_delta 21","inst-23-1681160445","no instance",23,1681160445,1,23
0,"inst-24-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 24 1 1681160445 tuning -nnodes_middle 19 -nnodes_delta 9 -nrings_middle 29 -nrings_delta 2 -capacity_middle 10 -capacity_delta 14 -demand_cardMiddle 38 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 40 -demand_inner_inner_delta 1","inst-24-1681160445","no instance",24,1681160445,1,24
0,"inst-25-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 25 1 1681160445 tuning -nnodes_middle 32 -nnodes_delta 8 -nrings_middle 30 -nrings_delta 22 -capacity_middle 10 -capacity_delta 9 -demand_cardMiddle 34 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 42 -demand_inner_inner_delta 13","inst-25-1681160445","no instance",25,1681160445,1,25
0,"inst-26-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 26 1 1681160445 tuning -nnodes_middle 26 -nnodes_delta 10 -nrings_middle 19 -nrings_delta 3 -capacity_middle 15 -capacity_delta 6 -demand_cardMiddle 40 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 0 -demand_inner_inner_middle 26 -demand_inner_inner_delta 14","inst-26-1681160445","no instance",26,1681160445,1,26
0,"inst-27-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 27 1 1681160445 tuning -nnodes_middle 26 -nnodes_delta 9 -nrings_middle 22 -nrings_delta 0 -capacity_middle 46 -capacity_delta 1 -demand_cardMiddle 25 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 22 -demand_inner_inner_delta 13","inst-27-1681160445","no instance",27,1681160445,1,27
0,"inst-28-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 28 1 1681160445 tuning -nnodes_middle 40 -nnodes_delta 4 -nrings_middle 49 -nrings_delta 11 -capacity_middle 47 -capacity_delta 22 -demand_cardMiddle 38 -demand_cardDelta 2 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 4 -demand_inner_inner_delta 10","inst-28-1681160445","no instance",28,1681160445,1,28
0,"inst-29-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 29 1 1681160445 tuning -nnodes_middle 27 -nnodes_delta 23 -nrings_middle 36 -nrings_delta 18 -capacity_middle 24 -capacity_delta 3 -demand_cardMiddle 39 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 2 -demand_inner_inner_delta 3","inst-29-1681160445","no instance",29,1681160445,1,29
1,"inst-30-1681160445","model",0,0,3.292,0,1,NA,NA,NA,NA,"../wrapper.py 30 1 1681160445 tuning -nnodes_middle 22 -nnodes_delta 19 -nrings_middle 1 -nrings_delta 15 -capacity_middle 46 -capacity_delta 17 -demand_cardMiddle 13 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 29 -demand_inner_inner_delta 10","544b35c2cf83d249b93dd710b73fd8cb","solver timeout",30,1681160445,1,30
0,"inst-31-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 31 1 1681160445 tuning -nnodes_middle 3 -nnodes_delta 18 -nrings_middle 28 -nrings_delta 18 -capacity_middle 3 -capacity_delta 17 -demand_cardMiddle 15 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 5 -demand_inner_inner_delta 1","inst-31-1681160445","no instance",31,1681160445,1,31
1,"inst-32-1681160445","model",0,0,11.587,0,1,NA,NA,NA,NA,"../wrapper.py 32 1 1681160445 tuning -nnodes_middle 18 -nnodes_delta 13 -nrings_middle 31 -nrings_delta 6 -capacity_middle 11 -capacity_delta 9 -demand_cardMiddle 24 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 0 -demand_inner_inner_middle 34 -demand_inner_inner_delta 12","9ed7f81996468dd3f7a86c8eca21dd15","solver timeout",32,1681160445,1,32
1,"inst-33-1681160445","model",0,0,7.501,0,1,NA,NA,NA,NA,"../wrapper.py 33 1 1681160445 tuning -nnodes_middle 46 -nnodes_delta 13 -nrings_middle 7 -nrings_delta 11 -capacity_middle 10 -capacity_delta 10 -demand_cardMiddle 11 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 39 -demand_inner_inner_delta 3","9918bd2de92a9e02318dfeed865bb7cd","solver timeout",33,1681160445,1,33
0,"inst-1-574469501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 1 1 574469501 tuning -nnodes_middle 8 -nnodes_delta 16 -nrings_middle 10 -nrings_delta 23 -capacity_middle 45 -capacity_delta 23 -demand_cardMiddle 36 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 1 -demand_inner_inner_delta 23","inst-1-574469501","no instance",1,574469501,1,34
1,"inst-2-574469501","model",0,0,18.238,0,1,NA,NA,NA,NA,"../wrapper.py 2 1 574469501 tuning -nnodes_middle 50 -nnodes_delta 8 -nrings_middle 38 -nrings_delta 19 -capacity_middle 36 -capacity_delta 11 -demand_cardMiddle 25 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 42 -demand_inner_inner_delta 10","192bdf9af8e98f7767e17ec387460b75","solver timeout",2,574469501,1,35
