feasible,instance,model,seed,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum
1,inst-145-123,model,0,0,7.962,0,0,27.3056,0,556743,yes,../wrapper.py 145 145 123 random -n_templates_middle 38 -n_templates_delta 22 -n_slots_middle 27 -n_slots_delta 9 -n_variations_middle 4 -n_variations_delta 21 -demand_range_middle 26 -demand_range_delta 5,69b7a562c44adf6f893077f5ce2824f3
1,inst-147-123,model,0,0,7.913,0,0,12.2254,0,220108,yes,../wrapper.py 147 147 123 random -n_templates_middle 8 -n_templates_delta 24 -n_slots_middle 21 -n_slots_delta 10 -n_variations_middle 33 -n_variations_delta 22 -demand_range_middle 11 -demand_range_delta 14,8dcb9a889babfd3cb111d622a8c0565e
1,inst-149-123,model,0,0,11.555,0,0,59.8946,0,656606,yes,../wrapper.py 149 149 123 random -n_templates_middle 40 -n_templates_delta 3 -n_slots_middle 20 -n_slots_delta 19 -n_variations_middle 35 -n_variations_delta 14 -demand_range_middle 6 -demand_range_delta 14,59e100aed7fbcabcef02e954e6daeefa
1,inst-152-123,model,0,0,7.063,0,0,25.08,0,500524,yes,../wrapper.py 152 152 123 random -n_templates_middle 40 -n_templates_delta 13 -n_slots_middle 21 -n_slots_delta 24 -n_variations_middle 13 -n_variations_delta 12 -demand_range_middle 4 -demand_range_delta 21,db343661080f0545b065c7545eed1736
1,inst-153-123,model,0,0,5.93,0,0,10.5121,0,262812,yes,../wrapper.py 153 153 123 random -n_templates_middle 20 -n_templates_delta 20 -n_slots_middle 10 -n_slots_delta 23 -n_variations_middle 18 -n_variations_delta 13 -demand_range_middle 5 -demand_range_delta 23,15869b860deafae8a48dc067345af40d
1,inst-154-123,model,0,0,11.824,0,0,49.4719,0,410215,yes,../wrapper.py 154 154 123 random -n_templates_middle 48 -n_templates_delta 1 -n_slots_middle 25 -n_slots_delta 5 -n_variations_middle 43 -n_variations_delta 13 -demand_range_middle 0 -demand_range_delta 7,672764bca1fc3749e7c5d593dfaacb71
1,inst-159-123,model,0,0,7.319,0,0,13.04,0,268482,yes,../wrapper.py 159 159 123 random -n_templates_middle 36 -n_templates_delta 1 -n_slots_middle 32 -n_slots_delta 23 -n_variations_middle 5 -n_variations_delta 24 -demand_range_middle 1 -demand_range_delta 18,3f0584bb18755eb2b2409c1c384a3b16
1,inst-165-123,model,0,0,13.654,0,0,139.018,0,1256597,yes,../wrapper.py 165 165 123 random -n_templates_middle 43 -n_templates_delta 5 -n_slots_middle 36 -n_slots_delta 2 -n_variations_middle 39 -n_variations_delta 6 -demand_range_middle 27 -demand_range_delta 0,8c9481d7b2d1c61c31830ea22e48af78
1,inst-166-123,model,0,0,14.795,0,0,158.57,0,1404315,yes,../wrapper.py 166 166 123 random -n_templates_middle 41 -n_templates_delta 8 -n_slots_middle 46 -n_slots_delta 8 -n_variations_middle 49 -n_variations_delta 9 -demand_range_middle 24 -demand_range_delta 12,ec3f5496badd38cecc8dfb366044a9ce
1,inst-168-123,model,0,0,6.859,0,0,11.7244,0,272520,yes,../wrapper.py 168 168 123 random -n_templates_middle 36 -n_templates_delta 18 -n_slots_middle 43 -n_slots_delta 13 -n_variations_middle 16 -n_variations_delta 11 -demand_range_middle 19 -demand_range_delta 6,4f7855dface242e6283e29622e83f3aa
