"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","iteration","runId"
1,"inst-35-1208567152","model",0,0,8.39,0,0,0.004837,0,0,"no","../wrapper.py 35 1 1208567152 tuning -n_pieces_middle 38 -n_pieces_delta 23 -n_players_middle 30 -n_players_delta 15 -duration_range_middle 15 -duration_range_delta 10 -plays_in_cardMiddle 9 -plays_in_cardDelta 0 -plays_in_relation1_middle 15 -plays_in_relation1_delta 7 -plays_in_relation2_middle 29 -plays_in_relation2_delta 5","c3c0fe8217859393ca5dff788f4bb8ff","unsat + too easy",35,1208567152,3,375
1,"inst-63-1208567152","model",0,0,8.179,0,0,0.005235,0,0,"no","../wrapper.py 63 1 1208567152 tuning -n_pieces_middle 43 -n_pieces_delta 22 -n_players_middle 28 -n_players_delta 15 -duration_range_middle 10 -duration_range_delta 4 -plays_in_cardMiddle 8 -plays_in_cardDelta 1 -plays_in_relation1_middle 27 -plays_in_relation1_delta 9 -plays_in_relation2_middle 16 -plays_in_relation2_delta 11","61c36109ecca8cddfee7e49e974361d6","unsat + too easy",63,1208567152,3,376
1,"inst-64-1208567152","model",0,0,5.328,0,0,0.001447,0,0,"no","../wrapper.py 64 1 1208567152 tuning -n_pieces_middle 21 -n_pieces_delta 2 -n_players_middle 19 -n_players_delta 7 -duration_range_middle 24 -duration_range_delta 5 -plays_in_cardMiddle 26 -plays_in_cardDelta 1 -plays_in_relation1_middle 20 -plays_in_relation1_delta 12 -plays_in_relation2_middle 19 -plays_in_relation2_delta 23","a08fb3d4e33e76f59ef7a7302445a249","unsat + too easy",64,1208567152,3,377
1,"inst-65-1208567152","model",0,0,5.574,0,0,0.002022,0,0,"no","../wrapper.py 65 1 1208567152 tuning -n_pieces_middle 39 -n_pieces_delta 19 -n_players_middle 8 -n_players_delta 10 -duration_range_middle 29 -duration_range_delta 9 -plays_in_cardMiddle 12 -plays_in_cardDelta 0 -plays_in_relation1_middle 34 -plays_in_relation1_delta 23 -plays_in_relation2_middle 19 -plays_in_relation2_delta 6","d04d32a0cadf48380b10511e9003286d","unsat + too easy",65,1208567152,3,378
1,"inst-66-1208567152","model",0,0,10.241,0,0,0.005438,0,0,"no","../wrapper.py 66 1 1208567152 tuning -n_pieces_middle 31 -n_pieces_delta 17 -n_players_middle 43 -n_players_delta 10 -duration_range_middle 14 -duration_range_delta 18 -plays_in_cardMiddle 10 -plays_in_cardDelta 0 -plays_in_relation1_middle 4 -plays_in_relation1_delta 16 -plays_in_relation2_middle 33 -plays_in_relation2_delta 17","3256f9562259a410768efb847c22dc9a","unsat + too easy",66,1208567152,3,379
1,"inst-67-1208567152","model",0,0,5.341,0,0,0.002648,0,0,"no","../wrapper.py 67 1 1208567152 tuning -n_pieces_middle 14 -n_pieces_delta 15 -n_players_middle 12 -n_players_delta 15 -duration_range_middle 26 -duration_range_delta 2 -plays_in_cardMiddle 16 -plays_in_cardDelta 0 -plays_in_relation1_middle 8 -plays_in_relation1_delta 22 -plays_in_relation2_middle 10 -plays_in_relation2_delta 3","c3b7cc7cb70e580812f5ec7aeca52f63","unsat + too easy",67,1208567152,3,380
1,"inst-68-1208567152","model",0,0,5.618,0,0,0.001389,0,0,"no","../wrapper.py 68 1 1208567152 tuning -n_pieces_middle 30 -n_pieces_delta 15 -n_players_middle 4 -n_players_delta 19 -duration_range_middle 6 -duration_range_delta 13 -plays_in_cardMiddle 4 -plays_in_cardDelta 2 -plays_in_relation1_middle 6 -plays_in_relation1_delta 24 -plays_in_relation2_middle 35 -plays_in_relation2_delta 21","94ac9b2892a9d63b97c5f6b5554bfce1","unsat + too easy",68,1208567152,3,381
1,"inst-69-1208567152","model",0,0,8.288,0,0,0.006195,0,0,"no","../wrapper.py 69 1 1208567152 tuning -n_pieces_middle 47 -n_pieces_delta 21 -n_players_middle 16 -n_players_delta 17 -duration_range_middle 1 -duration_range_delta 5 -plays_in_cardMiddle 30 -plays_in_cardDelta 1 -plays_in_relation1_middle 14 -plays_in_relation1_delta 24 -plays_in_relation2_middle 25 -plays_in_relation2_delta 13","0c90bbf021f163d2dbb9ea31b1a00fad","unsat + too easy",69,1208567152,3,382
1,"inst-70-1208567152","model",0,0,8.207,0,0,0.002026,0,0,"no","../wrapper.py 70 1 1208567152 tuning -n_pieces_middle 24 -n_pieces_delta 4 -n_players_middle 33 -n_players_delta 0 -duration_range_middle 50 -duration_range_delta 12 -plays_in_cardMiddle 20 -plays_in_cardDelta 1 -plays_in_relation1_middle 19 -plays_in_relation1_delta 18 -plays_in_relation2_middle 18 -plays_in_relation2_delta 10","735bf79e6fe770ca9884e5d1c772145e","unsat + too easy",70,1208567152,3,383
1,"inst-71-1208567152","model",0,0,6.092,0,0,0.00364,0,0,"no","../wrapper.py 71 1 1208567152 tuning -n_pieces_middle 18 -n_pieces_delta 11 -n_players_middle 3 -n_players_delta 16 -duration_range_middle 6 -duration_range_delta 12 -plays_in_cardMiddle 23 -plays_in_cardDelta 1 -plays_in_relation1_middle 1 -plays_in_relation1_delta 11 -plays_in_relation2_middle 29 -plays_in_relation2_delta 22","e5163771d51f4fb771d65726404e0c5b","unsat + too easy",71,1208567152,3,384
