"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","runId"
1,"inst-30-123","model",0,0,7.303,0,1,NA,NA,NA,NA,"../wrapper.py 30 30 123 random -nnodes_middle 43 -nnodes_delta 21 -nrings_middle 15 -nrings_delta 3 -capacity_middle 36 -capacity_delta 2 -demand_cardMiddle 1 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 0 -demand_inner_inner_middle 17 -demand_inner_inner_delta 22","1c71ceb05ec54159ebb94d5d23c48ed3","solver timeout",30,123,30
0,"inst-31-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 31 31 123 random -nnodes_middle 31 -nnodes_delta 7 -nrings_middle 37 -nrings_delta 20 -capacity_middle 16 -capacity_delta 12 -demand_cardMiddle 35 -demand_cardDelta 2 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 49 -demand_inner_inner_delta 10","inst-31-123","no instance",31,123,31
0,"inst-32-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 32 32 123 random -nnodes_middle 6 -nnodes_delta 13 -nrings_middle 12 -nrings_delta 12 -capacity_middle 19 -capacity_delta 24 -demand_cardMiddle 19 -demand_cardDelta 0 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 7 -demand_inner_inner_delta 24","inst-32-123","no instance",32,123,32
1,"inst-33-123","model",0,0,6.402,0,1,NA,NA,NA,NA,"../wrapper.py 33 33 123 random -nnodes_middle 26 -nnodes_delta 4 -nrings_middle 32 -nrings_delta 24 -capacity_middle 34 -capacity_delta 10 -demand_cardMiddle 16 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 0 -demand_inner_inner_middle 10 -demand_inner_inner_delta 22","69d340a82e4615e54814da51021fbed3","solver timeout",33,123,33
0,"inst-34-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 34 34 123 random -nnodes_middle 16 -nnodes_delta 9 -nrings_middle 40 -nrings_delta 4 -capacity_middle 1 -capacity_delta 10 -demand_cardMiddle 24 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 44 -demand_inner_inner_delta 11","inst-34-123","no instance",34,123,34
0,"inst-35-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 35 35 123 random -nnodes_middle 27 -nnodes_delta 24 -nrings_middle 39 -nrings_delta 5 -capacity_middle 16 -capacity_delta 24 -demand_cardMiddle 29 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 39 -demand_inner_inner_delta 13","inst-35-123","no instance",35,123,35
1,"inst-36-123","model",0,0,8.973,0,1,NA,NA,NA,NA,"../wrapper.py 36 36 123 random -nnodes_middle 46 -nnodes_delta 4 -nrings_middle 15 -nrings_delta 2 -capacity_middle 11 -capacity_delta 24 -demand_cardMiddle 15 -demand_cardDelta 2 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 6 -demand_inner_inner_delta 5","e0a320b302977158c2fc839ce28af89f","solver timeout",36,123,36
0,"inst-37-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 37 37 123 random -nnodes_middle 14 -nnodes_delta 2 -nrings_middle 6 -nrings_delta 24 -capacity_middle 50 -capacity_delta 3 -demand_cardMiddle 46 -demand_cardDelta 2 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 23 -demand_inner_inner_delta 17","inst-37-123","no instance",37,123,37
0,"inst-38-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 38 38 123 random -nnodes_middle 5 -nnodes_delta 8 -nrings_middle 35 -nrings_delta 7 -capacity_middle 42 -capacity_delta 5 -demand_cardMiddle 25 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 0 -demand_inner_inner_middle 48 -demand_inner_inner_delta 8","inst-38-123","no instance",38,123,38
0,"inst-39-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 39 39 123 random -nnodes_middle 24 -nnodes_delta 0 -nrings_middle 28 -nrings_delta 16 -capacity_middle 30 -capacity_delta 8 -demand_cardMiddle 45 -demand_cardDelta 2 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 20 -demand_inner_inner_delta 4","inst-39-123","no instance",39,123,39
