"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","iteration","runId"
1,"inst-17-137027669","model",0,0,7.197,0,0,0.023957,0,0,"no","../wrapper.py 17 1 137027669 tuning -numNodes_middle 11 -numNodes_delta 19 -numLeaves_middle 7 -numLeaves_delta 8 -numPeriods_middle 32 -numPeriods_delta 6 -maxStock_middle 32 -maxStock_delta 12 -holdingCost_range_middle 47 -holdingCost_range_delta 22 -procCost_range_middle 18 -procCost_range_delta 8 -demand_range_middle 42 -demand_range_delta 11 -children_range_cardMiddle 16 -children_range_cardDelta 0 -children_range_inner_middle 4 -children_range_inner_delta 17","71ddd7d0cd893f7ce6e3c44a6f2732b3","unsat + too easy",17,137027669,1,17
0,"inst-18-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 18 1 137027669 tuning -numNodes_middle 34 -numNodes_delta 22 -numLeaves_middle 16 -numLeaves_delta 23 -numPeriods_middle 11 -numPeriods_delta 19 -maxStock_middle 12 -maxStock_delta 0 -holdingCost_range_middle 43 -holdingCost_range_delta 17 -procCost_range_middle 48 -procCost_range_delta 17 -demand_range_middle 42 -demand_range_delta 9 -children_range_cardMiddle 20 -children_range_cardDelta 2 -children_range_inner_middle 5 -children_range_inner_delta 4","inst-18-137027669","no instance",18,137027669,1,18
0,"inst-19-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 19 1 137027669 tuning -numNodes_middle 30 -numNodes_delta 18 -numLeaves_middle 44 -numLeaves_delta 9 -numPeriods_middle 40 -numPeriods_delta 1 -maxStock_middle 32 -maxStock_delta 8 -holdingCost_range_middle 29 -holdingCost_range_delta 23 -procCost_range_middle 10 -procCost_range_delta 9 -demand_range_middle 34 -demand_range_delta 19 -children_range_cardMiddle 26 -children_range_cardDelta 3 -children_range_inner_middle 27 -children_range_inner_delta 12","inst-19-137027669","no instance",19,137027669,1,19
0,"inst-20-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 20 1 137027669 tuning -numNodes_middle 21 -numNodes_delta 9 -numLeaves_middle 7 -numLeaves_delta 7 -numPeriods_middle 14 -numPeriods_delta 19 -maxStock_middle 39 -maxStock_delta 3 -holdingCost_range_middle 26 -holdingCost_range_delta 15 -procCost_range_middle 25 -procCost_range_delta 10 -demand_range_middle 21 -demand_range_delta 0 -children_range_cardMiddle 46 -children_range_cardDelta 0 -children_range_inner_middle 26 -children_range_inner_delta 20","inst-20-137027669","no instance",20,137027669,1,20
0,"inst-21-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 21 1 137027669 tuning -numNodes_middle 30 -numNodes_delta 10 -numLeaves_middle 28 -numLeaves_delta 19 -numPeriods_middle 9 -numPeriods_delta 24 -maxStock_middle 24 -maxStock_delta 23 -holdingCost_range_middle 45 -holdingCost_range_delta 19 -procCost_range_middle 34 -procCost_range_delta 16 -demand_range_middle 3 -demand_range_delta 11 -children_range_cardMiddle 27 -children_range_cardDelta 3 -children_range_inner_middle 36 -children_range_inner_delta 18","inst-21-137027669","no instance",21,137027669,1,21
0,"inst-22-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 22 1 137027669 tuning -numNodes_middle 24 -numNodes_delta 3 -numLeaves_middle 40 -numLeaves_delta 10 -numPeriods_middle 22 -numPeriods_delta 0 -maxStock_middle 8 -maxStock_delta 10 -holdingCost_range_middle 39 -holdingCost_range_delta 0 -procCost_range_middle 30 -procCost_range_delta 23 -demand_range_middle 36 -demand_range_delta 6 -children_range_cardMiddle 43 -children_range_cardDelta 1 -children_range_inner_middle 29 -children_range_inner_delta 10","inst-22-137027669","no instance",22,137027669,1,22
1,"inst-23-137027669","model",0,0,1.188,0,0,0.003316,0,0,"no","../wrapper.py 23 1 137027669 tuning -numNodes_middle 3 -numNodes_delta 18 -numLeaves_middle 28 -numLeaves_delta 18 -numPeriods_middle 3 -numPeriods_delta 17 -maxStock_middle 15 -maxStock_delta 7 -holdingCost_range_middle 42 -holdingCost_range_delta 2 -procCost_range_middle 2 -procCost_range_delta 9 -demand_range_middle 27 -demand_range_delta 15 -children_range_cardMiddle 13 -children_range_cardDelta 0 -children_range_inner_middle 20 -children_range_inner_delta 11","c42f06e15c97a992a233470ca7a7c333","unsat + too easy",23,137027669,1,23
0,"inst-24-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 24 1 137027669 tuning -numNodes_middle 42 -numNodes_delta 3 -numLeaves_middle 34 -numLeaves_delta 12 -numPeriods_middle 46 -numPeriods_delta 13 -maxStock_middle 7 -maxStock_delta 11 -holdingCost_range_middle 9 -holdingCost_range_delta 11 -procCost_range_middle 11 -procCost_range_delta 24 -demand_range_middle 22 -demand_range_delta 20 -children_range_cardMiddle 8 -children_range_cardDelta 3 -children_range_inner_middle 11 -children_range_inner_delta 4","inst-24-137027669","no instance",24,137027669,1,24
0,"inst-25-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 25 1 137027669 tuning -numNodes_middle 9 -numNodes_delta 14 -numLeaves_middle 37 -numLeaves_delta 21 -numPeriods_middle 36 -numPeriods_delta 11 -maxStock_middle 42 -maxStock_delta 0 -holdingCost_range_middle 50 -holdingCost_range_delta 16 -procCost_range_middle 21 -procCost_range_delta 0 -demand_range_middle 38 -demand_range_delta 5 -children_range_cardMiddle 50 -children_range_cardDelta 3 -children_range_inner_middle 36 -children_range_inner_delta 18","inst-25-137027669","no instance",25,137027669,1,25
1,"inst-26-137027669","model",0,0,3.814,0,0,0.011715,0,0,"no","../wrapper.py 26 1 137027669 tuning -numNodes_middle 24 -numNodes_delta 21 -numLeaves_middle 9 -numLeaves_delta 15 -numPeriods_middle 15 -numPeriods_delta 11 -maxStock_middle 3 -maxStock_delta 4 -holdingCost_range_middle 2 -holdingCost_range_delta 24 -procCost_range_middle 17 -procCost_range_delta 13 -demand_range_middle 31 -demand_range_delta 6 -children_range_cardMiddle 26 -children_range_cardDelta 3 -children_range_inner_middle 18 -children_range_inner_delta 21","01ea6e503f7f2c3f0b914a05a6d20c86","unsat + too easy",26,137027669,1,26
